County,lbs,Rank,Year
Orange,1231316,26,2009
Placer,282905,38,2009
Plumas,24997,49,2009
Riverside,1787288,22,2009
Sacramento,3084565,13,2009
San Benito,802402,31,2009
San Bernardino,320969,37,2009
San Diego,1016777,28,2009
San Francisco,5701,55,2009
San Joaquin,8490520,4,2009
San Luis Obispo,2230354,19,2009
San Mateo,242279,40,2009
Santa Barbara,3733610,12,2009
Santa Clara,679712,32,2009
Santa Cruz,1585810,23,2009
Shasta,268154,39,2009
Sierra,1031,57,2009
Siskiyou,1484802,25,2009
Solano,891606,30,2009
Sonoma,2149900,20,2009
Stanislaus,5548517,10,2009
Sutter,2611821,14,2009
Tehama,900387,29,2009
Trinity,7329,54,2009
Tulare,14074834,3,2009
Tuolumne,24641,50,2009
Ventura,5782307,9,2009
Yolo,2390160,17,2009
Yuba,1057863,27,2009
Alameda,320559,38,2008
Alpine,472,57,2008
Amador,82304,45,2008
Butte,2481130,16,2008
Calaveras,33458,50,2008
Colusa,2067987,21,2008
Contra Costa,456573,35,2008
Del Norte,321641,37,2008
El Dorado,99682,44,2008
Fresno,27543587,1,2008
Glenn,1085894,25,2008
Humboldt,61943,47,2008
Imperial,3740014,12,2008
Inyo,5871,54,2008
Kern,25441400,2,2008
Kings,6239993,9,2008
Lake,601928,34,2008
Lassen,125312,43,2008
Los Angeles,2741761,14,2008
Madera,7578258,5,2008
Marin,68953,46,2008
Mariposa,5795,55,2008
Mendocino,952825,29,2008
Merced,6912082,6,2008
Modoc,389141,36,2008
Mono,3669,56,2008
Monterey,7893327,4,2008
Napa,1137388,24,2008
Nevada,35207,49,2008
Orange,1049118,27,2008
Placer,240765,41,2008
Plumas,59385,48,2008
Riverside,2278421,20,2008
Sacramento,3411537,13,2008
San Benito,676656,33,2008
San Bernardino,273532,40,2008
San Diego,868254,30,2008
San Francisco,10514,53,2008
San Joaquin,6754501,7,2008
San Luis Obispo,2400818,18,2008
San Mateo,306063,39,2008
Santa Barbara,4279799,11,2008
Santa Clara,1173078,23,2008
Santa Cruz,1653785,22,2008
Shasta,206984,42,2008
Sierra,156,58,2008
Siskiyou,1074184,26,2008
Solano,818358,31,2008
Sonoma,2402744,17,2008
Stanislaus,5677506,10,2008
Sutter,2613894,15,2008
Tehama,997693,28,2008
Trinity,13186,52,2008
Tulare,14310365,3,2008
Tuolumne,19407,51,2008
Ventura,6437899,8,2008
Yolo,2295955,19,2008
Yuba,798445,32,2008
Alameda,278934,41,2007
Alpine,1033,58,2007
Amador,99692,44,2007
Butte,3083724,14,2007
Calaveras,45509,48,2007
Colusa,2062102,21,2007
Contra Costa,632000,34,2007
Del Norte,333059,38,2007
